input,expectedOutput
"A 45-year-old patient presents with chest pain radiating to the left arm. What should be the immediate action?","Administer aspirin, perform ECG, and prepare for possible cardiac catheterization. Call cardiology consult immediately."
"Patient has a severe allergic reaction with facial swelling and difficulty breathing. What medication should be given first?","Administer epinephrine 0.3-0.5mg IM immediately, followed by antihistamines and corticosteroids. Secure airway if needed."
"An 8-year-old child has a fever of 104°F and stiff neck. What is the most likely diagnosis and next steps?","Suspected bacterial meningitis. Perform lumbar puncture, blood cultures, and start empiric antibiotics immediately. Isolate patient."
"Pregnant patient in third trimester presents with severe headache, visual disturbances, and blood pressure 160/110. What is the diagnosis?","Preeclampsia with severe features. Admit to L&D, start magnesium sulfate, monitor fetal status, prepare for possible delivery."
"Patient on warfarin presents with INR of 8 and minor bleeding. What is the management?","Hold warfarin, administer oral vitamin K 2.5-5mg. Monitor INR closely. Avoid activities that may cause trauma."
"Diabetic patient found unconscious with blood glucose of 35 mg/dL. What is the immediate treatment?","Administer IV dextrose 50% (D50) 25-50mL or IM glucagon 1mg if no IV access. Recheck glucose in 15 minutes."
"Patient presents with sudden onset severe headache described as 'worst headache of my life'. What should be suspected?","Subarachnoid hemorrhage. Perform urgent non-contrast CT head, neurology consult. If CT negative, consider lumbar puncture."
"Elderly patient falls and is unable to bear weight on right leg. Hip is shortened and externally rotated. What is the likely diagnosis?","Hip fracture, likely femoral neck or intertrochanteric. Order X-ray, keep patient NPO, orthopedic consult for surgical fixation."
"Patient develops sudden shortness of breath and hypoxia 3 days after knee surgery. What should be considered?","Pulmonary embolism. Order CTPA or V/Q scan, start anticoagulation if no contraindications. Check D-dimer if low probability."
"Child ingests unknown quantity of acetaminophen 2 hours ago. What is the management?","Check acetaminophen level at 4 hours post-ingestion, plot on Rumack-Matthew nomogram. Consider activated charcoal if within 2 hours. Prepare N-acetylcysteine if indicated."
